"sampleid","y","x"
"NC 05-2011","40.04555",-96.372498
"NC 06-2011","40.92555",-96.280014
"NC 07-2011","41.22611",-96.488335
"NC 08-2011","41.05722",-96.44738
"NC 09-2011","40.79195",-96.932251
"NC 10-2011","41.04055",-96.372498
"NC 11-2011","40.91111",-97.096947
"NC 12-2011","41.42334",-99.126205
"NC 13-2011","40.73778",-96.844467
"NC 14-2011","41.64265",-99.578194
"NC 15-2011","41.22611",-96.488335
"NC 16-2011","41.64265",-99.578102
"NC 17-2011","41.42334",-99.126205
"NC 18-2011","41.56001",-98.144508
"NC 19-2011","40.73778",-96.844467
"NC 20-2011","41.64265",-99.578194
"NC 21-2011","40.86222",-99.984169
"NC 22-2011","41.56001",-98.144508
"NC 23-2011","41.285",-98.568336
"NC 24-2011","40.91111",-97.096947
"NC 25-2011","41.61861",-99.866508
"ND 01-2011","43.10092",-75.09893
"ND 02-2011","42.50526",-74.599503
"ND 03-2011","42.88337",-75.449249
"ND 04-2011","44.72731",-75.297112
"ND 05-2011","43.89529",-75.620529
"ND 06-2011","44.12819",-75.719383
"ND 07-2011","43.1633",-76.101898
"ND 08-2011","44.0031",-75.811447
"ND 09-2011","42.4974",-76.607277
"ND 10-2011","43.23401",-76.662888
"ND 11-2011","43.18965",-76.920769
"ND 12-2011","42.7812",-77.236603
"ND 13-2011","43.2327",-76.805099
"ND 14-2011","42.99968",-77.978638
"ND 15-2011","43.00514",-78.04464
"ND 16-2011","42.88464",-77.49189
"ND 17-2011","43.0145",-78.415077
"ND 18-2011","42.4142",-77.197304
"ND 19-2011","42.39809",-79.405853
"ND 20-2011","42.36331",-78.930527
"ND 21-2011","42.94586",-78.450623
"ND 22-2011","43.00773",-78.135948
"ND 23-2011","43.95686",-73.451584
"ND 24-2011","43.0749",-75.275574
"ND 25-2011","42.56762",-75.497704
"NE 01-2011","32.1906",-106.4289
"NE 02-2011","31.95117",-106.081
"NE 03-2011","31.9679",-106.6606
"NE 04-2011","32.1263",-106.7233
"NE 05-2011","32.8898",-107.2962
"NE 06-2011","32.9447",-107.3035
"NE 07-2011","35.63354",-105.96686
"NE 08-2011","34.76635",-6.7176528
"NE 09-2011","36.51691",-105.58358
"NE 10-2011","34.74803",-106.71803
"NE 11-2011","34.88033",-106.69771
"NE 12-2011","35.07228",-106.6796
"NE 13-2011","36.12206",-105.78769
"NE 14-2011","34.8666",-6.6835651
"NE 15-2011","32.16",-106.48
"NE 16-2011","32.00043",-106.64952
"NE 17-2011","36.8835",-106.61689
"NE 18-2011","32.29569",-106.82088
"NE 19-2011","36.13402",-105.65685
"NE 21-2011","34.94002",-106.69038
"NE 22-2011","36.88334",-106.60001
"NE 23-2011","36.03832",-105.7836
"NE 24-2011","31.40022",-105.60007
"NE 25-2011","36.19843",-105.68523
"NH 01-2011","43.272",-71.488998
"NH 03-2011","43.119",-71.550003
"NH 06-2011","43.423",-71.245003
"NJ 01-2011","39.95649",-74.613075
"NJ 02-2011","39.25975",-74.254669
"NJ 03-2011","39.62841",-75.252083
"NJ 04-2011","39.36538",-74.853317
"NJ 05-2011","40.06703",-79.579933
"NJ 06-2011","40.87648",-74.340317
"NJ 07-2011","40.979",-74.871483
"NJ 08-2011","40.47051",-74.586731
"NJ 09-2011","40.068",-74.490044
"NJ 10-2011","41.14057",-74.702301
"NJ 11-2011","40.54202",-74.630692
"NJ 13-2011","40.31352",-74.078308
"NJ 14-2011","40.4834",-74.801903
"NJ 16-2011","41.19832",-74.691818
"NJ 17-2011","40.4333",-74.893303
